id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,50,1,5,13635,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,50,1,9,23324,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,52,1,8,34873,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,53,1,3,2196,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,55,1,7,79140,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,55,1,5,52100,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,55,1,4,66747,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,57,1,6,76941,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,58,2,6,29973,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,60,2,4,1859,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,61,2,3,30949,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,61,2,8,31099,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,64,3,4,78660,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,65,3,7,4264,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
15,66,3,5,72018,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,66,3,9,72018,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,66,3,5,46383,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,67,3,5,78660,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,69,3,8,48718,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,69,3,9,72018,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
